Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Category_Key,Sub_Category_Key,Product_Key,Quantity_Sold
1/1/2020,12/21/2019,INV-84639,1,1,1,1,7,330,5
1/1/2020,8/3/2019,INV-84640,1,1,1,1,6,329,23
1/1/2020,7/11/2019,INV-84641,1,1,1,1,6,327,24
1/1/2020,11/14/2019,INV-84642,1,2,1,1,6,327,25
1/1/2020,7/13/2019,INV-84643,1,1,1,1,6,329,13
1/1/2020,8/31/2019,INV-84644,1,1,1,3,14,213,16
1/1/2020,9/17/2019,INV-84645,1,1,1,1,8,204,27
1/1/2020,10/31/2019,INV-84646,1,1,1,1,8,204,24
1/1/2020,10/29/2019,INV-84647,1,2,1,1,8,204,11
1/1/2020,7/30/2019,INV-84648,1,2,1,1,8,204,27
1/1/2020,11/26/2019,INV-84649,1,1,1,1,8,209,19
1/1/2020,11/30/2019,INV-84650,1,1,1,1,8,209,14
1/1/2020,12/9/2019,INV-84651,4,1,1,1,8,203,18
1/1/2020,10/11/2019,INV-84652,4,1,1,1,8,203,7
1/1/2020,10/20/2019,INV-84653,1,2,1,1,8,201,19
1/1/2020,8/1/2019,INV-84654,1,2,1,1,8,201,21
1/1/2020,9/25/2019,INV-84655,1,1,4,1,7,330,17
1/1/2020,12/8/2019,INV-84656,1,1,4,1,7,330,12
1/1/2020,10/18/2019,INV-84657,4,1,4,1,7,330,24
1/1/2020,11/11/2019,INV-84658,4,1,4,1,7,330,8
1/1/2020,8/14/2019,INV-84659,4,2,4,1,7,330,9
1/1/2020,8/13/2019,INV-84660,4,2,4,1,3,325,19
1/1/2020,12/13/2019,INV-84661,3,1,4,1,3,321,18
1/1/2020,10/3/2019,INV-84662,3,1,4,1,4,317,4
1/1/2020,10/30/2019,INV-84663,1,2,4,1,6,329,4
1/1/2020,8/17/2019,INV-84664,3,2,4,3,14,213,5
1/1/2020,12/18/2019,INV-84665,1,1,4,2,10,238,2
1/1/2020,10/1/2019,INV-84666,4,1,4,1,8,201,30
1/1/2020,8/26/2019,INV-84667,4,1,4,1,8,202,3
1/1/2020,9/30/2019,INV-84668,4,1,4,1,8,202,7
